% Model:              pp6_Sextratic_modified.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 19 2021, 17:52
% Dimension:          2
% Nodes:              101
% Expressions:        1
% Description:        Magnetic flux density, z component
% Length unit:        m
% R                       Z                        mfnc.Bz (T)
0                         0                        0.1842191222342613
1.0E-4                    0                        0.1842194427999429
2.0E-4                    0                        0.1842209662337494
3.0000000000000003E-4     0                        0.18422369358757615
4.0E-4                    0                        0.18422762591446662
5.0E-4                    0                        0.18423276426861507
6.000000000000001E-4      0                        0.18423910970536747
7.0E-4                    0                        0.18424666328122266
8.0E-4                    0                        0.18425542605383477
9.000000000000001E-4      0                        0.184265399082014
0.001                     0                        0.18427658342572853
0.0011                    0                        0.1842889801461054
0.0012000000000000001     0                        0.1843025903054334
0.0013000000000000002     0                        0.18431741496716275
0.0014                    0                        0.18433345519590844
0.0015                    0                        0.184350738769042
0.0016                    0                        0.18436928723559087
0.0017000000000000001     0                        0.18438900481261297
0.0018000000000000002     0                        0.1844098924176676
0.0019                    0                        0.18443195096924825
0.002                     0                        0.18445518138678432
0.0021000000000000003     0                        0.18447958459064237
0.0022                    0                        0.1845051615021263
0.0023                    0                        0.18453191304348027
0.0024000000000000002     0                        0.18455984013788768
0.0025                    0                        0.18458894370947457
0.0026000000000000003     0                        0.18461922468330913
0.0027                    0                        0.1846506839854036
0.0028                    0                        0.1846833225427156
0.0029000000000000002     0                        0.18471714128314856
0.003                     0                        0.184752172171617
0.0031000000000000003     0                        0.18478832799943903
0.0032                    0                        0.18482555134803164
0.0033                    0                        0.1848638430734675
0.0034000000000000002     0                        0.18490320403270546
0.0035                    0                        0.1849436350835919
0.0036000000000000003     0                        0.18498513708486114
0.0037                    0                        0.1850277108961374
0.0038                    0                        0.18507135737793556
0.0039000000000000003     0                        0.1851160773916623
0.004                     0                        0.1851618717996169
0.0041                    0                        0.18520874146499317
0.004200000000000001      0                        0.18525668725187985
0.0043                    0                        0.18530571002526208
0.0044                    0                        0.1853558106510222
0.0045000000000000005     0                        0.18540702005190415
0.0046                    0                        0.18545915346286426
0.0047                    0                        0.1855121802082429
0.0048000000000000004     0                        0.18556610105534221
0.0049                    0                        0.1856209167722972
0.005                     0                        0.18567662812807548
0.0051                    0                        0.1857332358924787
0.005200000000000001      0                        0.1857907408361447
0.0053                    0                        0.18584914373054637
0.0054                    0                        0.18590844534799486
0.0055000000000000005     0                        0.18596864646163974
0.0056                    0                        0.18602974784547036
0.0057                    0                        0.18609175027431674
0.0058000000000000005     0                        0.1861546545238505
0.0059                    0                        0.1862184639672721
0.006                     0                        0.18628317497590505
0.0061                    0                        0.18634850455924484
0.006200000000000001      0                        0.18641445334646833
0.0063                    0                        0.18648102196750196
0.0064                    0                        0.18654821105302305
0.006500000000000001      0                        0.18661602123446072
0.0066                    0                        0.18668445314399676
0.0067                    0                        0.18675350741456725
0.0068000000000000005     0                        0.18682318467986248
0.006900000000000001      0                        0.18689348557432958
0.007                     0                        0.18696441073317235
0.0071                    0                        0.18703596079235263
0.007200000000000001      0                        0.18710813638859175
0.0073                    0                        0.18718093815937054
0.0074                    0                        0.18725440803323823
0.007500000000000001      0                        0.18732834305966475
0.0076                    0                        0.1874024773286434
0.0077                    0                        0.18747681125638896
0.0078000000000000005     0                        0.1875513452597374
0.0079                    0                        0.18762607975614545
0.008                     0                        0.18770101516369284
0.0081                    0                        0.18777615190108238
0.0082                    0                        0.18785149038764154
0.0083                    0                        0.187927031043323
0.008400000000000001      0                        0.18800277428870601
0.0085                    0                        0.18807872054499686
0.0086                    0                        0.18815487023403019
0.008700000000000001      0                        0.18823122377827023
0.0088                    0                        0.18830778160081105
0.0089                    0                        0.1883846172695206
0.009000000000000001      0                        0.18846123224347952
0.0091                    0                        0.18853740851939235
0.0092                    0                        0.18861314618237943
0.009300000000000001      0                        0.18868844531797277
0.0094                    0                        0.18876330601211685
0.0095                    0                        0.18883772835116924
0.009600000000000001      0                        0.1889117124219021
0.0097                    0                        0.18898525831150215
0.0098                    0                        0.18905836610757207
0.0099                    0                        0.18913103589813157
0.01                      0                        0.18920326777161736
