% Model:              pp6_Sextratic_modified.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 19 2021, 18:05
% Dimension:          2
% Nodes:              101
% Expressions:        1
% Description:        Magnetic flux density, z component
% Length unit:        m
% R                       Z                        mfnc.Bz (T)
0                         0                        0.1996784179197457
1.0E-4                    0                        0.19967935732844388
2.0E-4                    0                        0.19968201724807996
3.0000000000000003E-4     0                        0.1996864012347529
4.0E-4                    0                        0.19969251285436837
5.0E-4                    0                        0.19970035568267244
6.000000000000001E-4      0                        0.19970993330528608
7.0E-4                    0                        0.19972124931773935
8.0E-4                    0                        0.19973430732550446
9.000000000000001E-4      0                        0.19974911094403164
0.001                     0                        0.19976566379878272
0.0011                    0                        0.1997839695252662
0.0012000000000000001     0                        0.19980403176907238
0.0013000000000000002     0                        0.19982585418590676
0.0014                    0                        0.199849440441628
0.0015                    0                        0.1998748130912424
0.0016                    0                        0.19990196521104703
0.0017000000000000001     0                        0.19993081709949437
0.0018000000000000002     0                        0.19996137230649735
0.0019                    0                        0.1999936343918615
0.002                     0                        0.20002760692531824
0.0021000000000000003     0                        0.20006329348656096
0.0022                    0                        0.2001006976652783
0.0023                    0                        0.2001398230611903
0.0024000000000000002     0                        0.20018067328408232
0.0025                    0                        0.2002232519538412
0.0026000000000000003     0                        0.2002675627004906
0.0027                    0                        0.2003136091642256
0.0028                    0                        0.20036139499544878
0.0029000000000000002     0                        0.20041092385480705
0.003                     0                        0.20046221688247723
0.0031000000000000003     0                        0.2005151912209897
0.0032                    0                        0.2005698055342091
0.0033                    0                        0.2006260632833133
0.0034000000000000002     0                        0.2006839679392274
0.0035                    0                        0.200743522982657
0.0036000000000000003     0                        0.200804731904124
0.0037                    0                        0.2008675982039994
0.0038                    0                        0.20093212539253966
0.0039000000000000003     0                        0.2009983169899206
0.004                     0                        0.2010661765262734
0.0041                    0                        0.20113570754171872
0.004200000000000001      0                        0.2012069135864029
0.0043                    0                        0.20127979822053355
0.0044                    0                        0.201354365014414
0.0045000000000000005     0                        0.20143062807717196
0.0046                    0                        0.20150844371300722
0.0047                    0                        0.2015877931534332
0.0048000000000000004     0                        0.20166867967007912
0.0049                    0                        0.20175110654388603
0.005                     0                        0.20183507706513867
0.0051                    0                        0.2019205945334997
0.005200000000000001      0                        0.20200766225804315
0.0053                    0                        0.202096283557287
0.0054                    0                        0.20218646175922825
0.0055000000000000005     0                        0.20227820020137624
0.0056                    0                        0.20237150223078545
0.0057                    0                        0.20246637120409228
0.0058000000000000005     0                        0.2025628104875467
0.0059                    0                        0.2026608251949008
0.006                     0                        0.20276039925324674
0.0061                    0                        0.20286132995421743
0.006200000000000001      0                        0.20296362022064776
0.0063                    0                        0.2030672729837738
0.0064                    0                        0.20317229118326494
0.006500000000000001      0                        0.2032786777672526
0.0066                    0                        0.2033864356923619
0.0067                    0                        0.2034955679237415
0.0068000000000000005     0                        0.20360607743509462
0.006900000000000001      0                        0.2037179672087108
0.007                     0                        0.20383124023549498
0.0071                    0                        0.2039458995149997
0.007200000000000001      0                        0.20406194805545755
0.0073                    0                        0.2041793888738103
0.0074                    0                        0.20429825222338785
0.007500000000000001      0                        0.204418381657786
0.0076                    0                        0.20453958959987978
0.0077                    0                        0.20466187839857602
0.0078000000000000005     0                        0.2047852504096071
0.0079                    0                        0.2049097079955556
0.008                     0                        0.20503525352588112
0.0081                    0                        0.20516188937694235
0.0082                    0                        0.20528961793202533
0.0083                    0                        0.2054184415813662
0.008400000000000001      0                        0.20554836272217789
0.0085                    0                        0.2056793837586755
0.0086                    0                        0.2058115071021008
0.008700000000000001      0                        0.20594473517074957
0.0088                    0                        0.20607907038999682
0.0089                    0                        0.20621456364142857
0.009000000000000001      0                        0.2063508481484158
0.0091                    0                        0.20648776897841947
0.0092                    0                        0.2066253275325598
0.009300000000000001      0                        0.20676352521607377
0.0094                    0                        0.20690236343832896
0.0095                    0                        0.20704184361284092
0.009600000000000001      0                        0.20718196715728637
0.0097                    0                        0.20732273549352045
0.0098                    0                        0.20746415004759017
0.0099                    0                        0.20760621224975148
0.01                      0                        0.20774892353448382
