% Model:              pp6_uniform.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 19 2021, 17:13
% Dimension:          2
% Nodes:              101
% Expressions:        1
% Description:        Magnetic flux density, z component
% Length unit:        m
% R                       Z                        mfnc.Bz (T)
0                         0                        0.1998006257133366
1.0E-4                    0                        0.19980095989200602
2.0E-4                    0                        0.19980174885993288
3.0000000000000003E-4     0                        0.19980299333087595
4.0E-4                    0                        0.1998046940200894
5.0E-4                    0                        0.19980685164432452
6.000000000000001E-4      0                        0.19980946692183596
7.0E-4                    0                        0.1998125405723835
8.0E-4                    0                        0.19981607331723825
9.000000000000001E-4      0                        0.19982006587918383
0.001                     0                        0.19982451898252312
0.0011                    0                        0.1998294333530805
0.0012000000000000001     0                        0.19983480971820658
0.0013000000000000002     0                        0.19984064880678168
0.0014                    0                        0.19984695134922104
0.0015                    0                        0.1998537563818535
0.0016                    0                        0.19986106930232606
0.0017000000000000001     0                        0.19986873818331344
0.0018000000000000002     0                        0.19987676358788892
0.0019                    0                        0.19988514608031382
0.002                     0                        0.19989388622604087
0.0021000000000000003     0                        0.19990298459171743
0.0022                    0                        0.19991244174518769
0.0023                    0                        0.19992225825549798
0.0024000000000000002     0                        0.1999324346928975
0.0025                    0                        0.1999429716288435
0.0026000000000000003     0                        0.19995386963600245
0.0027                    0                        0.19996512928825613
0.0028                    0                        0.19997675116070135
0.0029000000000000002     0                        0.19998873582965598
0.003                     0                        0.20000114309137787
0.0031000000000000003     0                        0.20001380073643849
0.0032                    0                        0.20002659709595216
0.0033                    0                        0.2000395323910928
0.0034000000000000002     0                        0.2000526068435039
0.0035                    0                        0.20006582067530174
0.0036000000000000003     0                        0.20007917410907503
0.0037                    0                        0.20009266736788628
0.0038                    0                        0.2001063006752741
0.0039000000000000003     0                        0.20012007425525374
0.004                     0                        0.20013398833231819
0.0041                    0                        0.20014804313143994
0.004200000000000001      0                        0.20016223887807197
0.0043                    0                        0.20017657579814935
0.0044                    0                        0.20019105411809007
0.0045000000000000005     0                        0.20020572823937963
0.0046                    0                        0.20022023773368633
0.0047                    0                        0.20023452289846158
0.0048000000000000004     0                        0.20024858337314785
0.0049                    0                        0.20026241879641507
0.005                     0                        0.200276028806158
0.0051                    0                        0.20028941303949338
0.005200000000000001      0                        0.20030257113275948
0.0053                    0                        0.20031550272151286
0.0054                    0                        0.20032820744052635
0.0055000000000000005     0                        0.20034068492378757
0.0056                    0                        0.20035293480449556
0.0057                    0                        0.20036495671506083
0.0058000000000000005     0                        0.20037675028710064
0.0059                    0                        0.200388320865269
0.006                     0                        0.2003996438599967
0.0061                    0                        0.20041018330053298
0.006200000000000001      0                        0.20041993791798027
0.0063                    0                        0.20042890644070033
0.0064                    0                        0.20043708759430515
0.006500000000000001      0                        0.20044448010165206
0.0066                    0                        0.200451082682833
0.0067                    0                        0.20045689405517028
0.0068000000000000005     0                        0.2004619129332073
0.006900000000000001      0                        0.20046613802870067
0.007                     0                        0.2004695680506142
0.0071                    0                        0.2004722017051098
0.007200000000000001      0                        0.20047403769554145
0.0073                    0                        0.20047507472244525
0.0074                    0                        0.20047538569269885
0.007500000000000001      0                        0.20047456544495063
0.0076                    0                        0.20047212051689384
0.0077                    0                        0.2004680482560238
0.0078000000000000005     0                        0.20046234600405805
0.0079                    0                        0.20045501109692165
0.008                     0                        0.20044604086473047
0.0081                    0                        0.20043543263177654
0.0082                    0                        0.20042318371651047
0.0083                    0                        0.20040929143152694
0.008400000000000001      0                        0.200393753083548
0.0085                    0                        0.2003765659734076
0.0086                    0                        0.20035772739603466
0.008700000000000001      0                        0.20033723464043773
0.0088                    0                        0.20031508498968775
0.0089                    0                        0.2002913981323947
0.009000000000000001      0                        0.20026522466238034
0.0091                    0                        0.2002361674548064
0.0092                    0                        0.20020422176284183
0.009300000000000001      0                        0.2001693828292321
0.0094                    0                        0.20013164588626886
0.0095                    0                        0.20009100615576392
0.009600000000000001      0                        0.2000474588490185
0.0097                    0                        0.20000099916679517
0.0098                    0                        0.1999516222992873
0.0099                    0                        0.19989932342609337
0.01                      0                        0.19984409771618342
