% Model:              pp6_uniform.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 19 2021, 17:02
% Dimension:          2
% Nodes:              101
% Expressions:        1
% Description:        Magnetic flux density, z component
% Length unit:        m
% R                       Z                        mfnc.Bz (T)
0                         0                        0.17954841554964332
1.0E-4                    0                        0.17954847511367103
2.0E-4                    0                        0.17954832931615422
3.0000000000000003E-4     0                        0.1795479784457024
4.0E-4                    0                        0.1795474227914244
5.0E-4                    0                        0.17954666264292693
6.000000000000001E-4      0                        0.17954569829031883
7.0E-4                    0                        0.17954453002420806
8.0E-4                    0                        0.17954315813570548
9.000000000000001E-4      0                        0.17954158291642325
0.001                     0                        0.1795398046584772
0.0011                    0                        0.17953782365448673
0.0012000000000000001     0                        0.1795356401975756
0.0013000000000000002     0                        0.17953325458137265
0.0014                    0                        0.17953066710001317
0.0015                    0                        0.17952792152378372
0.0016                    0                        0.17952502536197468
0.0017000000000000001     0                        0.17952180685508967
0.0018000000000000002     0                        0.17951826620652
0.0019                    0                        0.17951440362008023
0.002                     0                        0.17951021930000846
0.0021000000000000003     0                        0.17950571345096628
0.0022                    0                        0.1795008862780407
0.0023                    0                        0.17949573798674315
0.0024000000000000002     0                        0.1794902687830124
0.0025                    0                        0.17948447887321214
0.0026000000000000003     0                        0.17947836846413476
0.0027                    0                        0.17947193776299972
0.0028                    0                        0.1794651869774556
0.0029000000000000002     0                        0.1794581163155794
0.003                     0                        0.17945079845891118
0.0031000000000000003     0                        0.17944303519546315
0.0032                    0                        0.17943469382802107
0.0033                    0                        0.17942577441419302
0.0034000000000000002     0                        0.17941627701190108
0.0035                    0                        0.1794062016793811
0.0036000000000000003     0                        0.1793955484751838
0.0037                    0                        0.17938431745817518
0.0038                    0                        0.17937250868753715
0.0039000000000000003     0                        0.1793601222227683
0.004                     0                        0.1793471581236835
0.0041                    0                        0.17933361645041532
0.004200000000000001      0                        0.17931949726341434
0.0043                    0                        0.17930480062344953
0.0044                    0                        0.1792895265916091
0.0045000000000000005     0                        0.1792737436996548
0.0046                    0                        0.17925702885766764
0.0047                    0                        0.17923931120079148
0.0048000000000000004     0                        0.17922059057573275
0.0049                    0                        0.179200866829375
0.005                     0                        0.17918013980877834
0.0051                    0                        0.17915840936118155
0.005200000000000001      0                        0.17913567533400107
0.0053                    0                        0.17911193757483254
0.0054                    0                        0.17908719593145045
0.0055000000000000005     0                        0.1790614502518083
0.0056                    0                        0.1790347003840405
0.0057                    0                        0.17900694617646165
0.0058000000000000005     0                        0.1789781874775665
0.0059                    0                        0.17894843086617926
0.006                     0                        0.17891765194049364
0.0061                    0                        0.17888522428534664
0.006200000000000001      0                        0.1788511474416793
0.0063                    0                        0.17881542095042352
0.0064                    0                        0.17877804435250055
0.006500000000000001      0                        0.17873901718882404
0.0066                    0                        0.1786983390002975
0.0067                    0                        0.17865600932781647
0.0068000000000000005     0                        0.1786120277122693
0.006900000000000001      0                        0.1785663936945344
0.007                     0                        0.1785191068154842
0.0071                    0                        0.17847016661598336
0.007200000000000001      0                        0.178419572636889
0.0073                    0                        0.17836732441905176
0.0074                    0                        0.17831350642864277
0.007500000000000001      0                        0.17825765263742446
0.0076                    0                        0.17819919826294198
0.0077                    0                        0.17813814239942988
0.0078000000000000005     0                        0.17807448414084392
0.0079                    0                        0.17800822258086008
0.008                     0                        0.17793935681287623
0.0081                    0                        0.17786788593001138
0.0082                    0                        0.17779380902510503
0.0083                    0                        0.17771712519071933
0.008400000000000001      0                        0.17763783351913703
0.0085                    0                        0.17755593310236234
0.0086                    0                        0.1774714230321223
0.008700000000000001      0                        0.17738430239986408
0.0088                    0                        0.17729457029675855
0.0089                    0                        0.1772023570585208
0.009000000000000001      0                        0.17710659300143397
0.0091                    0                        0.17700683918318308
0.0092                    0                        0.17690309403724877
0.009300000000000001      0                        0.17679535599642593
0.0094                    0                        0.17668362349282435
0.0095                    0                        0.17656789495786754
0.009600000000000001      0                        0.17644816882229386
0.0097                    0                        0.176324443516155
0.0098                    0                        0.17619671746881638
0.0099                    0                        0.17606498910895718
0.01                      0                        0.1759292568645698
