% Model:              pp5_Sextratic_modified.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 19 2021, 15:15
% Dimension:          2
% Nodes:              42
% Expressions:        1
% Description:        Magnetic flux density, z component
% Length unit:        m
% R                       Z                        mfnc.Bz (T)
0                         0                        0.19039148037297032
4.982391304347316E-4      0                        0.1903915257445878
0.009996629727741919      0                        0.19096099005562026
0.01                      0                        0.19096175483841535
0.00996478260869562       0                        0.190953803337236
0.009496607866389324      0                        0.19085581375139252
0.009466543478260838      0                        0.19085000571321598
0.00899660830004727       0                        0.19076611156951737
0.008968304347826054      0                        0.19076146752224382
0.00849663061307931       0                        0.1906902412329487
0.008470065217391269      0                        0.19068657176119408
0.007996674400116595      0                        0.19062666333367684
0.007971826086956487      0                        0.19062380225843625
0.007496739265742706      0                        0.19057393875450188
0.0074735869565217055     0                        0.19057174120932563
0.006996824824190145      0                        0.19053072631685705
0.006975347826086918      0                        0.190529066928662
0.006496930699047774      0                        0.19049578063873704
0.006477108695652135      0                        0.1904945518049628
0.005997056522978869      0                        0.19046795018833373
0.005978869565217352      0                        0.19046706044287248
0.005497201937449284      0                        0.19044617552038565
0.005480630434782569      0                        0.19044554798135088
0.004997366592465408      0                        0.19042948768358217
0.004982391304347785      0                        0.19042905857656417
0.004497550146321282      0                        0.19041700678858636
0.004484152173912999      0                        0.19041672403955612
0.003997752265354823      0                        0.19040794072739775
0.003985913043478217      0                        0.19040776261988912
0.0034979726237124413     0                        0.19040158403583093
0.0034876739130434336     0                        0.1904014779274415
0.0029982109031219963     0                        0.19039731689190742
0.0029894347826086498     0                        0.19039725798553706
0.002498466792673554      0                        0.19039460424388877
0.0024911956521738664     0                        0.190394574409459
0.001998739988607735      0                        0.1903929950625905
0.001992956521739083      0                        0.19039298170529023
0.0014990301941113368     0                        0.1903921217134783
0.001494717391304299      0                        0.19039211668483602
9.993371191199078E-4      0                        0.1903916994445086
9.964782608695155E-4      0                        0.19039169799282546
4.996604801270159E-4      0                        0.19039152598767084
