% Model:              pp5_Sextratic_modified.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 19 2021, 15:18
% Dimension:          2
% Nodes:              42
% Expressions:        1
% Description:        Magnetic flux density, z component
% Length unit:        m
% R                       Z                        mfnc.Bz (T)
0                         0                        0.19976994516322938
4.982391304347316E-4      0                        0.19977097940388783
0.009996629727741919      0                        0.20079411644715442
0.01                      0                        0.20079519792929004
0.00996478260869562       0                        0.20078394304147784
0.009496607866389324      0                        0.20064327986984093
0.009466543478260838      0                        0.20063480987000082
0.00899660830004727       0                        0.20051052328711613
0.008968304347826054      0                        0.20050351897458418
0.00849663061307931       0                        0.20039416131730525
0.008470065217391269      0                        0.20038841123874324
0.007996674400116595      0                        0.20029261425492365
0.007971826086956487      0                        0.20028793112084164
0.007496739265742706      0                        0.20020440540685425
0.0074735869565217055     0                        0.20020062410757455
0.006996824824190145      0                        0.2001281586609233
0.006975347826086918      0                        0.20012513439051002
0.006496930699047774      0                        0.20006259627064113
0.006477108695652135      0                        0.20006020275026223
0.005997056522978869      0                        0.20000653684145236
0.005978869565217352      0                        0.20000466463437477
0.005497201937449284      0                        0.19995889350524707
0.005480630434782569      0                        0.19995744841632299
0.004997366592465408      0                        0.19991867227124777
0.004982391304347785      0                        0.19991757382433903
0.004497550146321282      0                        0.19988497054261692
0.004484152173912999      0                        0.19988415052993974
0.003997752265354823      0                        0.19985697578926112
0.003985913043478217      0                        0.19985637688710367
0.0034979726237124413     0                        0.19983396436835094
0.0034876739130434336     0                        0.19983353881404628
0.0029982109031219963     0                        0.19981530048492416
0.0029894347826086498     0                        0.19981500881034206
0.002498466792673554      0                        0.19980043528546892
0.0024911956521738664     0                        0.19980024510262512
0.001998739988607735      0                        0.1997889060768014
0.001992956521739083      0                        0.19978879091148605
0.0014990301941113368     0                        0.199780335657067
0.001494717391304299      0                        0.19978027382663172
9.993371191199078E-4      0                        0.1997744317073486
9.964782608695155E-4      0                        0.19977440523889906
4.996604801270159E-4      0                        0.1997709858188162
